chaine,nom film,date de diffusion,2023,nationalité2,rang de diffusion,téléspectateurs (millions),part d'audience (%)
Gulli,VERITE SI JE MENS ! 2 (LA),2023-12-10 00:00:00,2023,FRANCE,9,528831,"2,7"
Canal+,ASTERIX ET OBELIX: L'EMPIRE DU MILIEU,2023-09-15 00:00:00,2023,FRANCE,1,1704011,"8,5"
Canal+,ALIBI.COM 2,2023-09-22 00:00:00,2023,FRANCE,1,1351457,"6,3"
Canal+,SUPER MARIO BROS LE FILM,2023-10-20 00:00:00,2023,ETATS UNIS,1,1116421,"5,1"
Canal+,MENTEUR,2023-02-10 00:00:00,2023,FRANCE,1,977500,"4,5"
Canal+,NOVEMBRE,2023-04-07 00:00:00,2023,FRANCE,1,862500,"4,2"
Canal+,PIRE VOISIN AU MONDE (LE),2023-08-01 00:00:00,2023,SUEDE / ETATS UNIS,1,822626,"4,8"
Canal+,MISANTHROPE,2023-12-28 00:00:00,2023,ETATS UNIS,1,763867,"3,8"
Canal+,VIE POUR DE VRAI (LA),2023-12-25 00:00:00,2023,FRANCE / BELGIQUE,1,705108,"3,8"
Canal+,DONJONS ET DRAGONS: L'HONNEUR DES VOLEURS,2023-10-13 00:00:00,2023,ETATS UNIS,1,705108,"3,7"
Canal+,PETITES VICTOIRES (LES),2023-12-26 00:00:00,2023,FRANCE,1,705108,"3,3"
C8,MARGINAL (LE),2023-05-21 00:00:00,2023,FRANCE,24,1057662,"5,3"
C8,MARIAGE CHEZ LES BODIN'S,2023-02-09 00:00:00,2023,FRANCE,10,920000,"4,7"
C8,FUREUR DU DRAGON (LA),2023-04-20 00:00:00,2023,HONG KONG,10,920000,"4,3"
C8,VIEUX FUSIL (LE),2023-11-19 00:00:00,2023,FRANCE,19,881385,"4,1"
C8,APPALOOSA,2023-03-14 00:00:00,2023,ETATS UNIS,6,862500,"4,2"
C8,PETIT BAIGNEUR (LE),2023-02-05 00:00:00,2023,FRANCE,27,862500,"4,1"
C8,DOS AU MUR,2023-08-29 00:00:00,2023,ETATS UNIS,8,822626,"4,1"
C8,ALPAGUEUR (L'),2023-05-14 00:00:00,2023,FRANCE,16,822626,"3,8"
C8,IBIZA,2023-09-10 00:00:00,2023,FRANCE,2,822626,"3,8"
C8,TOUCHEZ PAS AU GRISBI,2023-11-12 00:00:00,2023,FRANCE / ITALIE,17,822626,"3,7"
CStar,"MISSION : IMPOSSIBLE, ROGUE NATION",2023-11-22 00:00:00,2023,ETATS UNIS,5,881385,"4,4"
CStar,TERMINATOR : GENISYS,2023-09-06 00:00:00,2023,ETATS UNIS,6,587590,"3,1"
CStar,THE CIRCLE,2023-04-19 00:00:00,2023,ETATS UNIS,1,575000,"2,9"
CStar,DOUBLE DETENTE,2023-05-31 00:00:00,2023,ETATS UNIS,12,528831,"2,7"
CStar,BASTILLE DAY,2023-12-06 00:00:00,2023,GRANDE BRETAGNE / FRANCE,5,528831,"2,4"
CStar,FORCES SPECIALES,2023-05-17 00:00:00,2023,FRANCE,10,528831,"2,3"
CStar,CLIFFHANGER,2023-03-22 00:00:00,2023,ETATS UNIS,15,517500,"2,4"
CStar,THE LOST CITY OF Z,2023-06-28 00:00:00,2023,ETATS UNIS,2,513000,"3,1"
CStar,VOL 93,2023-09-13 00:00:00,2023,GRANDE BRETAGNE,12,470072,"2,5"
CStar,U-571,2023-11-29 00:00:00,2023,ETATS UNIS,11,470072,"2,3"
NRJ12,JOHN WICK,2023-03-29 00:00:00,2023,ETATS UNIS,5,1207500,"5,6"
NRJ12,HOMEFRONT,2023-05-24 00:00:00,2023,ETATS UNIS,10,881385,"4,4"
NRJ12,REAL STEEL,2023-04-18 00:00:00,2023,ETATS UNIS,7,805000,"3,7"
NRJ12,RANDONNEURS (LES),2023-08-01 00:00:00,2023,FRANCE,19,763867,"4,3"
NRJ12,GHOST IN THE SHELL,2023-05-31 00:00:00,2023,ETATS UNIS,4,705108,"3,5"
NRJ12,MARSEILLE,2023-07-25 00:00:00,2023,ALLEMAGNE,3,705000,"3,9"
NRJ12,THE WAVE,2023-03-21 00:00:00,2023,NORVEGE,4,690000,"3,3"
NRJ12,SAFE,2023-03-22 00:00:00,2023,ETATS UNIS,13,690000,3
NRJ12,NOUVEAU PROTOCOLE (LE),2023-08-22 00:00:00,2023,FRANCE,10,646349,"3,9"
NRJ12,JASON BOURNE : L'HERITAGE,2023-11-07 00:00:00,2023,ETATS UNIS,10,646349,"3,3"
Chérie 25,SAVEURS DU PALAIS (LES),2023-08-03 00:00:00,2023,FRANCE,6,705108,"3,9"
Chérie 25,PLEINS POUVOIRS (LES),2023-04-06 00:00:00,2023,ETATS UNIS,11,690000,"3,6"
Chérie 25,FAILLE (LA),2023-10-26 00:00:00,2023,ETATS UNIS,9,646349,"3,3"
Chérie 25,MISS DETECTIVE,2023-04-13 00:00:00,2023,ETATS UNIS,13,632500,"2,8"
Chérie 25,IMOGENE MCCARTHERY,2023-05-04 00:00:00,2023,FRANCE,10,587590,"2,8"
Chérie 25,SPY GAME,2023-10-12 00:00:00,2023,GRANDE BRETAGNE,14,528831,"3,1"
Chérie 25,MYSTIC RIVER,2023-12-07 00:00:00,2023,ETATS UNIS,8,528831,"2,8"
Chérie 25,VOUS AVEZ UN MESSAGE,2023-04-27 00:00:00,2023,ETATS UNIS,11,517500,"2,9"
Chérie 25,COULEUR DES SENTIMENTS (LA),2023-06-16 00:00:00,2023,ETATS UNIS,8,502000,"3,1"
Chérie 25,TOTALE (LA),2023-08-10 00:00:00,2023,FRANCE,21,470072,"2,7"
Arte,POTICHE,2023-10-22 00:00:00,2023,FRANCE / BELGIQUE,6,2174083,"9,5"
Arte,"125, RUE MONTMARTRE",2023-01-16 00:00:00,2023,FRANCE,8,1840000,"7,8"
Arte,PENDEZ-LES HAUT ET COURT,2023-06-11 00:00:00,2023,ETATS UNIS,15,1821529,"9,5"
Arte,THE PLEDGE,2023-01-29 00:00:00,2023,ETATS UNIS,2,1782500,"8,2"
Arte,UN AMOUR IMPOSSIBLE,2023-10-11 00:00:00,2023,FRANCE,2,1762770,9
Arte,AFFAIRE PELICAN (L'),2023-01-08 00:00:00,2023,ETATS UNIS,13,1552500,"7,5"
Arte,TROIS JOURS ET UNE VIE,2023-03-22 00:00:00,2023,FRANCE / BELGIQUE,2,1495000,"6,7"
Arte,UN DROLE DE PAROISSIEN,2023-03-13 00:00:00,2023,FRANCE,14,1495000,"6,7"
Arte,GRANDE LESSIVE (LA),2023-08-09 00:00:00,2023,FRANCE,9,1468975,"7,8"
Arte,2 ALFRED (LES),2023-05-10 00:00:00,2023,FRANCE,1,1468975,"6,7"
France 2,REBELLES,2022-12-11 00:00:00,2022,France,1,4313000,"18,6"
France 2,LA GRANDE VADROUILLE,2022-04-17 00:00:00,2022,France,22,4244000,"20,5"
France 2,PAPI SITTER,2022-02-13 00:00:00,2022,France,1,4041000,"17,9"
France 2,AU NOM DE LA TERRE,2022-02-23 00:00:00,2022,France,1,3637000,"15,8"
France 2,1917,2022-11-13 00:00:00,2022,Etats-Unis,1,3631000,17
France 2,LES TONTONS FLINGUEURS,2022-01-02 00:00:00,2022,France,21,3535000,16
France 2,ADIEU LES CONS,2022-09-11 00:00:00,2022,France,1,3513000,"15,8"
France 2,FETE DE FAMILLE,2022-02-06 00:00:00,2022,France,1,3319000,"15,1"
France 2,LES INVISIBLES,2022-02-27 00:00:00,2022,France,1,3285000,"15,6"
France 2,LA CHANCE DE MA VIE,2022-11-27 00:00:00,2022,France,7,3219000,"14,1"
France 3,LA BONNE EPOUSE,2022-02-21 00:00:00,2022,France,1,3010000,"13,7"
France 3,LA CHEVRE,2022-08-22 00:00:00,2022,France,22,2794000,"13,5"
France 3,MON PETIT DOIGT M A DIT...,2022-03-03 00:00:00,2022,France,7,2793000,"12,6"
France 3,L AILE OU LA CUISSE,2022-12-22 00:00:00,2022,France,21,2667000,"12,9"
France 3,UN LONG DIMANCHE DE FIANCAILLES,2022-01-20 00:00:00,2022,France,9,2629000,"12,5"
France 3,ET POUR QUELQUES DOLLARS DE PLUS,2022-07-25 00:00:00,2022,Europe,18,2605000,"14,7"
France 3,UNE INTIME CONVICTION,2022-11-28 00:00:00,2022,France,1,2575000,12
France 3,LE CRIME EST NOTRE AFFAIRE,2022-02-24 00:00:00,2022,France,5,2533000,"11,2"
France 3,PHILOMENA,2022-03-14 00:00:00,2022,Europe,3,2491000,"11,5"
France 3,LES COMPERES,2022-08-15 00:00:00,2022,France,23,2469000,14
France 5,LA BONNE ANNEE,2022-01-03 00:00:00,2022,France,10,1376000,"6,3"
France 5,UN JOUR SANS FIN,2022-02-18 00:00:00,2022,Etats-Unis,14,1310000,"6,3"
France 5,LE CRABE TAMBOUR,2022-04-22 00:00:00,2022,France,9,1051000,"5,1"
France 5,DANS LA CHALEUR DE LA NUIT,2022-01-17 00:00:00,2022,Etats-Unis,9,1033000,"4,5"
France 5,TOUT FEU TOUT FLAMME,2022-12-16 00:00:00,2022,France,16,1013000,"4,9"
France 5,RAISON ET SENTIMENTS,2022-09-30 00:00:00,2022,Europe,11,961000,5
France 5,HOPE AND GLORY,2022-02-11 00:00:00,2022,Europe,5,953000,"4,5"
